Question,Answer
Kesalahan seperti apa yang dapat diajukan pembetulan SPPBMCP atas barang kiriman?,"Kesalahan yang dapat diajukan pembetulan SPPBMCP atas barang kiriman yaitu:
Kesalahan tulis meliputi namun tidak terbatas pada kesalahan yang dapat berupa nama, alamat, nomor pokok wajib pajak (NPWP), nomor SPPBMCP, tanggal SPPBMCP, dan/atau tanggal jatuh tempo.
Kesalahan hitung meliputi namun tidak terbatas pada kesalahan yang berasal dari penjumlahan, pengurangan, perkalian, dan/atau pembagian suatu bilangan.
Kekeliruan dalam penerapan ketentuan Undang-Undang Kepabeanan meliputi namun tidak terbatas pada kekeliruan dalam penerapan pembebanan dalam penetapan tarif."
Berapa lama proses pembetulan SPPBMCP barang kiriman diproses?,Pembetulan SPPBMCP barang kiriman diproses dalam jangka waktu paling lama 7 (tujuh) hari sejak tanggal tanda terima permohonan pembetulan.
Apakah Pejabat Bea dan Cukai dapat melakukan penetapan kembali tarif dan nilai pabean (SPTNP) atas SPPBMCP barang kiriman?,"Bisa, Pejabat Bea dan Cukai dapat menerbitkan penetapan kembali tarif dan nilai pabean (SPTNP) atas barang kiriman berdasarkanketentuan peraturan perundang-undangan mengenai:penelitian ulang; dan/atau
audit kepabeanan."
Dalam hal apa pembekuan Penyelenggara Pos Yang Ditunjuk atau PJT dicabut?,"Persetujuan yang dibekukan dapat diberlakukan kembali dalam hal:
jaminan sebagaimana telah dapat diklaim atau jaminan telah dapat dicairkan atau diklaim dan Penyelenggara Pos telah menyesuaikan kembali jaminan sehingga memenuhi jumlah jaminan yang telah ditetapkan;
berdasarkan rekomendasi unit pengawasan untuk diberlakukan kembali persetujuan yang dibekukan;
PJT telah menindaklanjuti peringatan yang disampaikan melalui surat peringatan;
PJT telah menyerahkan jaminan;
e. proses penyidikan telah dihentikan atau telah mendapatkan putusan pengadilan yang menyatakan tidak bersalah dan berkekuatan hukum tetap; dan/atau
f. Kepala Kantor Pa bean telah menyetujui permohonan yang disampaikan oleh Penyelenggara Pos untuk memberlakukan kembali atas persetujuan yang dibekukan, dalam hal Penyelenggara Pos akan melakukan kegiatan kepabeanan kembali."
Apakah yang menjadi latar belakang pengaturan ekspor barang kiriman?,"Latarbelakang dari pengaturan ekspor barang kiriman, antara lain :
Mengatur Proses Bisnis terkait Ekspor Barang Kiriman yang diamanatkan dalam PMK 155/PMK.04/2022 tentang Ketentuan Kepabeanan di Bidang Ekspor.
enegasan kewajiban pihak-pihak yang berhubungan dengan kegiatan Ekspor Barang Kiriman.
Peningkatan Akurasi Data Statistik Ekspor untuk data analytics ekspor, market intelligence, dan perpajakan.
Fasilitasi Kemudahan untuk UMKM dalam restitusi perpajakan atau pembebasan BM atas reimpor barang kiriman."
Dokumen pemberitahuan apa yang digunakan sebagai pemberitahuan pabean ekspor barang kiriman?,"Berikut merupakan matriks dokumen pemberitahuan pabean ekspor barang kiriman berdasarkan kriteria entitas/jenis ekspor dan batasan berat:
Berat Badan Usaha Perorangan Perusahaan Fasilitas (TPB, KITE) Ekspor Sementara Reekspor ≤30 kg CN / PEB CN PEB PEB CN -> CN >30 kg PEB PEB / CN PEB PEB PIB/PIBK -> PEB 
*CN = Consignment Note; PEB = Pemberitahuan Ekspor Barang"
Apa yang menjadi dasar perubahan batasan berat ekspor barang kiriman dari 100 kg menjadi 30 kg?,"Perubahan batasan berat ekspor barang kiriman dari 100 kg menjadi 30 kg adalah demi menyesuaikan praktik internasional dalam Article 17 Convention, Universal Postal Union (UPU) Act."
Mengapa CN merupakan pemberitahuan pabean?,Ketika CN jadi pemberitahuan pabean maka kewajiban pabean wajib dipenuhi seperti pembayaran bea keluar dan pemenuhan lartas. Selain itu CN yang sudah disetujui oleh DJBC bisa menjadi dasar untuk dimasukkan ke dalam kawasan pabean.
Siapa yang melakukan pengurusan kewajiban pabean terhadap ekspor barang kiriman yang diberitahukan dengan CN?,Penyelenggara Pos yang menangani barang kiriman melakukan pengurusan pemenuhan kewajiban pabean atas ekspor barang kiriman dan sekaligus menyerahkan CN kepada Pejabat Bea dan Cukai. Penyelenggara Pos terdiri dari PPYD (Penyelenggara Pos Yang Ditunjuk) dan PJT (Perusahaan Jasa Titipan) bertindak sebagai PPJK.
Siapakah yang bertindak sebagai eksportir barang kiriman?,"Pengirim barang bertindak sebagai Eksportir dan bertanggung jawab atas pemenuhan kewajiban membayar bea keluar dan/atau sanksi administrasi berupa denda.
Dalam hal pengirim barang tidak ditemukan, maka Penyelenggara Pos bertanggung jawab atas kewajiban pembayaran bea keluar dan/atau sanksi administrasi berupa denda."
Bagaimana ketentuan pengecualian bea keluar atas ekspor barang kiriman?,"Ketentuan mengenai pemungutan bea keluar atas ekspor Barang Kiriman sebagaimana dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan mengenai pemungutan bea keluar. Dalam Pasal 3 Ayat 3 PMK 106/PMK.04/2022 tentang Pemungutan Bea Keluar, pengecualian bea keluar diberikan terhadap ekspor barang kiriman per orang untuk setiap pengiriman dengan nilai pabean ekspor tidak melebihi Rp2.500.000,00 (dua juta lima ratus ribu Rupiah)."
Bagaimana ketentuan larangan dan/atau pembatasan (lartas) atas ekspor barang kiriman?,"Setiap ekspor barang kiriman wajib memenuhi ketentuan pemenuhan lartas sebagaimana diatur dalam Peraturan Menteri Perdagangan Nomor 22 Tahun 2023 dan Peraturan Menteri Perdagangan Nomor 23 Tahun 2023. Pengurusan pemenuhan perizinan lartas dapat dilakukan di Kementerian/Lembaga terkait yang menerbitkan perizinan lartas.
Terkait dengan pengecualian lartas atas ekspor barang kiriman juga mengacu pada ketentuan dalam Peraturan Menteri Perdagangan tersebut dimana perlu ada surat pengecualian yang diterbitkan oleh Kementerian/Lembaga terkait. Walaupun barang kiriman merupakan barang contoh atau barang non komersial tetap mengacu pada mekanisme pengecualian lartas yang diterbitkan oleh Kementerian/Lembaga terkait."
Bagaimana penerapan pemeriksaan fisik atas ekspor barang kiriman?,"Pemeriksaan fisik atas Barang Kiriman oleh Pejabat Bea dan Cukai dilakukan secara selektif berdasarkan manajemen risiko.
Terhadap ekspor barang kiriman yang diberitahukan dengan PEB, Ketentuan pemeriksaan pabean atas pemberitahuan ekspor barang dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan mengenai ketentuan kepabeanan di bidang ekspor."
Bagaimana mekanisme konsolidasi ekspor barang kiriman dengan menggunakan CN?,Ekspor Barang Kiriman yang diajukan pemberitahuan pabean ekspor dapat dilakukan konsolidasi. Konsolidasi merupakan kegiatan pengumpulan Barang Kiriman yang diberitahukan dengan 2 (dua) atau lebih pemberitahuan pabean ekspor sebelum Barang Kiriman tersebut dimasukkan ke Kawasan Pabean untuk dimuat ke sarana pengangkut. Konsolidasi Barang Kiriman atas beberapa CN yang telah mendapatkan persetujuan ekspor disampaikan oleh Penyelenggara Pos dengan Pemberitahuan Konsolidasi Barang Kiriman (PKBK) kepada Pejabat Bea dan Cukai melalui SKP di Kantor Pabean pemuatan ekspor.
Apakah ekspor barang kiriman bisa diproses impor kembali?,"Ekspor barang kiriman untuk diimpor kembali dapat dilakukan dalam hal barang yang sebelumnya diekspor: dalam kualitas yang sama dengan pada saat impor kembali; untuk keperluan perbaikan; untuk keperluan pengerjaan; atau untuk keperluan pengujian. Ketentuan impor kembali Barang Kiriman yang telah diekspor, dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan mengenai impor kembali barang yang telah diekspor.
Dalam PMK 96/2023 ketentuan ekspor sementara diberitahukan dengan menggunakan dokumen PEB. Saat ini PEB sudah dapat memfasilitasi pemberitahuan dari perorangan dengan menggunakan NIB perorangan. NIB tersebut dapat didaftarkan pada didaftarkan di www.oss.go.id
Sementara, terkait pengurusan pembebasan bea masuk pada saat impor kembali barang kiriman yang telah diekspor baik baik dokumen ekspornya menggunakan CN atau PEB tetap mengikuti mekanisme yang diatur dalam Peraturan Menteri Keuangan Nomor 175/PMK.04/2021 tentang Pembebasan Bea Masuk Atas Impor Kembali Barang yang Telah Diekspor dimana importir perlu mengajukan permohonan pembebasan kepada Pejabat Bea dan Cukai."
Bagaimana mekanisme perubahan atas kesalahan data CN dan/atau Pemberitahuan Konsolidasi Barang Kiriman (PKBK)?,"Permohonan perubahan atas kesalahan data CN dapat dilayani jangka waktu paling lama 30 (tiga puluh) hari sejak CN mendapatkan nomor dan tanggal pendaftaran dan disampaikan dengan menggunakan dokumen PP-CN.
Dikecualikan terhadap elemen data seperti jumlah dan/ atau jenis barang, hanya dapat dilayani sebelum barang dimasukkan ke Kawasan Pabean; serta nama sarana pengangkut dan/atau nomor voyage/ flight, hanya dapat dilayani dalam jangka waktu paling lama 3 (tiga) hari sejak tanggal keberangkatan sarana pengangkut semula.
Sementara atas perubahan Data PKBK diberitahukan dengan menyampaikan PP-PKBK, dengan norma waktu yaitu sebelum Barang Kiriman masuk Kawasan Pabean.
Bahwa semua elemen data CN dapat dibetulkan dan dilakukan penelitian oleh Pejabat Bea dan Cukai.
Dalam hal perubahan atas kesalahan data CN dan.atau PKBK yang melewati jangka waktu, kewenangan persetujuan oleh persetujuan Kepala Kantor dengan Jangka waktu penelitian 5 Hari Kerja sejak permohonan diterima lengkap dan benar."
Bagaimana mekanisme pembatalan CN dan/atau PKBK?,"Barang Kiriman yang telah diberitahukan untuk diekspor dan telah mendapatkan persetujuan ekspor dapat dibatalkan ekspornya, kecuali Barang Kiriman ekspor ditegah oleh unit pengawasan.
Permohonan pembatalan dapat dilayani dalam jangka waktu:
lima hari kerja sejak tanggal pendaftaran CN dalam hal sarana pengangkut tujuan luar daerah pabean batal berangkat dan belum diterbitkan outward manifest, atau
tiga hari kerja sejak tanggal keberangkatan sarana pengangkut atau
tiga hari kerja sejak tanggal pembatalan outward manifest dalam hal sarana pengangkut tujuan luar daerah batal berangkat dan telah diterbitkan outward manifest. Sementara, permohonan pembatalan PKBK dapat dilayani paling lambat sebelum barang kiriman di masukkan ke kawasan pabean."
Kapan Pemberlakukan ketentuan ekspor barang kiriman?,"Ketentuan ekspor barang kiriman mulai diberlakukan paling lambat satu tahun sejak PMK 96/2023 berlaku yaitu pada tanggal 16 November 2024.
Dalam hal SKP belum tersedia maka ketentuan ekspor barang kiriman tetap mengikuti ketentuan PMK 155/2022 dan Perdirjen 09/2023."
Apakah yang dimaksud dengan Cukai?,"Cukai adalah pungutan negara yang dikenakan terhadap barang-barang tertentu yang mempunyai sifat atau karakteristik tertentu yang telah ditetapkan sesuai peraturan perundang-undangan.
(Sesuai dengan UU 11 Tahun 1995 Jo UU 39 tahun 2007)"
Apakah yang dimaksud dengan Barang Kena Cukai (BKC)?,"Barang kena cukai adalah barang-barang tertentu yang yang dikenai cukai dan mempunyai sifat atau karakteristik:konsumsinya perlu dikenalikan
peredarannya perlu diawasi;
pemakaiannya dapat menimbulkan dampak negatif bagi masyarakat atau lingkungan hidup; atau
pemakaiannya perlu pembebanan pungutan negara demi keadilan dan keseimbangan.
(Sesuai dengan UU 11 Tahun 1995 Jo UU 39 tahun 2007)"
Terdiri dari apa sajakah Barang Kena Cukai (BKC) itu?,"Barang Kena Cukai yang saat ini dikenakan cukai di Indonesia terdiri dari:
etil alkohol atau etanol (EA), dengan tidak mengindahkan bahan yang digunakan dan proses pembuatannya;
minuman yang mengandung etil alkohol (MMEA) dalam kadar berapa pun, dengan tidak mengindahkan bahan yang digunakan dan proses pembuatannya, termasuk konsentrat yang mengandung etil alkohol;
hasil tembakau (HT), yang meliputi sigaret, cerutu, rokok daun, tembakau iris, rokok elektrik, dan hasil pengolahan tembakau lainnya, dengan tidak mengindahkan digunakan atau tidak bahan pengganti atau bahan pembantu dalam pembuatannya.
Jenis barang kena cukai dapat bertambah atau berkurang sesuai dengan Peraturan Pemerintah.
(Sesuai dengan UU 11 Tahun 1995 Jo UU 39 tahun 2007)"
Apakah ada pengecualian pemungutan cukai atas jenis barang kena cukai?,"Cukai tidak dipungut atas barang kena cukai berupa:tembakau iris yang dibuat dari tembakau hasil tanaman di Indonesia yang tidak dikemas untuk penjualan eceran atau dikemas untuk penjualan eceran dengan bahan pengemas tradisional yang lazim dipergunakan, apabila dalam pembuatannya tidak dicampur atau ditambah dengan tembakau yang berasal dari luar negeri atau bahan lain yang lazim dipergunakan dalam pembuatan hasil tembakau dan/atau pada kemasannya ataupun tembakau irisnya tidak dibubuhi merek dagang, etiket, atau yang sejenis itu;
minuman yang mengandung etil alkohol hasil peragian atau penyulingan yang dibuat oleh rakyat di Indonesia secara sederhana, semata-mata untuk mata pencaharian dan tidak dikemas untuk
penjualan eceran.
(Sesuai dengan UU 11 Tahun 1995 Jo UU 39 tahun 2007)"
Siapa saja yang wajb memiliki NPPBKC?,"Yang wajib memiliki NPPBKC yaitu:Setiap orang yang menjalankan kegiatan sebagai:Pengusaha Pabrik;
Pengusaha Tempat Penyimpanan;
Importir barang kena cukai;
Penyalur; dan/atau
Pengusaha Tempat Penjualan Eceran.

Kewajiban memiliki NPPBKC sebagai Penyalur atau Pengusaha Tempat Penjualan Eceran hanya berlaku untuk Penyalur dan Pengusaha Tempat Penjualan Eceran barang kena cukai berupa etil alkohol atau minuman mengandung etil alkohol.
Dalam hal orang yang wajib emiliki NPPBKC merupakan pengusaha Tempat Penimbunan Berikat, izin Tempat Penimbunan Berikat diberlakukan juga sebagai NPPBKC.
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
Siapa saja yang dikecualikan dari kewajiban memiliki NPPBKC?,"Kewajiban memiliki NPPBKC dikecualikan kepada:Orang yang membuat tembakau iris yang dibuat dari tembakau hasil tanaman di Indonesia yang tidak dikemas untuk penjualan eceran atau dikemas untuk penjualan eceran dengan bahan pengemas tradisional yang lazim dipergunakan, apabila:dalam pembuatannya tidak dicampur atau ditambah dengan tembakau yang berasal dari luar negeri atau bahan lain yang lazim dipergunakan dalam pembuatan hasil tembakau;
pada pengemas atau tembakau irisnya tidak dibubuhi atau dilekati atau dicantumkan cap, merek dagang, etiket, atau sejenis dengan itu.

Orang yang membuat minuman mengandung etil alkohol yang diperoleh dari hasil peragian atau penyulingan, apabila:dibuat oleh rakyat Indonesia;
pembuatannya dilakukan secara sederhana, dengan menggunakan peralatan sederhana yang lazim digunakan oleh rakyat Indonesia dan produksinya tidak rnelebihi 25 (dua puluh lima) liter per hari;
semata-mata untuk pencaharian; dan
tidak dikemas dalam kemasan untuk penjualan eceran.

Orang yang membuat etil alkohol, dalam hal:dibuat oleh rakyat di Indonesia;
pembuatannya dilakukan secara sederhana yang produksinya tidak melebihi 30 (tiga puluh) liter per hari; dan
semata-mata untuk mata pencaharian;

Orang yang mengimpor barang kena cukai yang mendapat fasilitas pembebasan cukai sebagai berikut:Untuk keperluan penelitian dan pengembangan ilmu pengetahuan;
Untuk keperluan perwakilan negara asing beserta para pejabatnya yang bertugas di Indonesia berdasarkan asas timbal balik;
Untuk keperluan tenaga ahli bangsa asing yang bertugas pada Badan atau Organisasi Internasional di Indonesia;
Yang dibawa oleh penumpang, awak sarana pengangkut, pelintas batas atau kiriman dari Luar Negeri, dalam jumlah tertentu;
Yang dipergunakan untuk tujuan sosial;

Pengusaha Tempat Penjualan Eceran etil alkohol yang jumlah penjualannya dalam sehari maksimal 30 (tiga puluh) liter per hari;dan
Pengusaha Tempat Penjualan Eceran minuman mengandung etil alkohol (MMEA) dengan kadar paling tinggi 5% (lima persen).
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
Apakah pengusaha pabrik barang kena cukai yang melakukan impor bahan baku atau bahan penolong wajib memiliki NPPBKC sebagai Importir?,"Tidak, NPPBKC Pengusaha Pabrik berlaku juga sebagai NPPBKC Importir.
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
Apakah pengusaha tempat penyimpanan barang kena cukai yang melakukan impor etil alkohol wajib memiliki NPPBKC sebagai Importir?,"Tidak, NPPBKC Pengusaha Tempat Penyimpanan berlaku juga sebagai NPPBKC Importir etil alkohol.
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
Apakah Importir minuman mengandung etil alkohol (MMEA) wajib memiliki NPPBKC sebagai Penyalur jika melakukan kegiatan sebagai penyalur MMEA yang diimpor?,"Tidak, NPPBKC Importir minuman mengandung etil alkohol (MMEA) berlaku juga sebagai NPPBKC Penyalur.
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
Apa saja persyaratan mendapat NPPBKC?,"Permohonan Persyaratan untuk mendapatkan NPPBKC yaitu sebagai berikut:Pemenuhan persyaratan sebagai berikut; Orang yang menjalankan kegiatan yang akan diberikan NPPBKC memenuhi ketentuan;berkedudukan di Indonesia; atau
 secara sah mewakili orang pribadi atau badan hukum yang berkedudukan di luar Indonesia.

Memiliki izin usaha dari instansi terkait dengan ketentuan;Izin usaha dari instansi yang tugas dan tanggung jawabnya di bidang perindustrian atau penanaman modal, dalam hal Orang mengajukan permohonan NPPBKC sebagai Pengusaha Pabrik; atau
Izin usaha dari instansi yang tugas dan tanggung jawabnya di bidang perdagangan, penanaman modal, atau pariwisata, dalam hal Orang mengajukan permohonan NPPBKC sebagai Pengusaha Tempat Penyimpanan, Importir, Penyalur, atau Pengusaha Tempat Penjualan Eceran

Mengajukan permohonan untuk memperoleh NPPBKC;
Menyampaikan data registrasi Pengusaha Barang Kena Cukai; dan
menyerahkan surat pernyataan bermeterai cukup yang menyatakan Orang yang mengajukan permohonan:tidak keberatan untuk dibekukan atau dicabut NPPBKC yang telah diberikan dalam hal nama Pabrik, Tempat Penyimpanan, Importir, Eceran Penyalur, atau Tempat Penjual yang bersangkutan memiliki kesamaan nama, baik tulisan maupun pengucapannya dengan nama Pabrik, Tempat Penyimpanan, Importir, Penyalur, atau Tempat Penjualan Eceran lain yang telah mendapatkan NPPBKC sebelumnya/terdahulu;dan
bertanggung jawab penuh terhadap seluruh kegiatan yang dilakukan di Pabrik, tempat Penyimpanan, Tempat Usaha Importir, Tempat Usaha Penyalur atau Tempat Penjualan Eceran dan/ atau kegiatan yang dilakukan oleh orang yang bekerja di Pabrik, Tempat Penyimpanan, Tempat Usaha Importir, Tempat Usaha Penyalur, atau Tempat Penjualan Eceran.

menyampaikan pemaparan proses bisnis perusahaannya.

Pemenuhan persyaratan lokasi tempat usaha.
(Sesuai dengan PMK Nomor 68 Tahun 2023)"
Bagaimana proses permohonan NPPBKC?,"Permohonan NPPBKC diproses melalui tiga tahapan, yaitu:Mengajukan permohonan pemeriksaan lokasi kepada Kepala kantor Bea dan Cukai yang mengawasi lokasi tempat usaha dengan melampirkan:gambar denah situasi sekitar lokasi, bangunan, atau tempat usaha; dan
gambar denah dalam lokasi, bangunan, atau tempat usaha.

Mengajukan permohonan sesuai format dalam lampiran huruf B dalam PMK Nomor 66/PMK.04/2018 untuk memperoleh NPPBKC. Dokumen permohonan paling sedikit melampirkan:berita acara pemeriksaan lokasi;
salinan atau fotokopi surat atau izin usaha dari instansi terkait;
daftar mesin yang digunakan untuk membuat dan/atau mengemas barang kena cukai dalam hal Orang mengajukan permohonan untuk memperoleh NPPBKC sebagai Pengusaha Pabrik;
daftar penyalur yang langsung membeli barang kena cukai dari Pengusaha Pabrik, dalam hal Orang mengajukan permohonan untuk memperoleh NPPBKC sebagai Pengusaha Pabrik hasil tembakau; dan
surat kesiapan untuk menyampaikan pemaparan proses bisnis perusahaannya.

Melakukan pemaparan proses bisnis perusahaannya.
Permohonan yang diajukan dan pemaparan proses bisnis yang dilakukan akan diteliti dan dinilai untuk mendapatkan informasi terkait dengan pemenuhan persyaratan legalitas, persyaratan lokasi, dan kesesuaian terkait dengan proses bisnis perusahaannya.
Kepala Kantor Bea dan Cukai atas nama Menteri memberikan keputusan menyetujui atau menolak permohonan NPPBKC paling lama 3 (tiga) hari kerja terhitung setelah tanggal diterimanya permohonan dan surat pernyataan secara lengkap, dan telah dilaksanakannya pemaparan proses bisnis.
Keputusan menyetujui permohonan untuk memperoleh NPPBKC, Kepala Kantor Bea dan Cukai memberikan:keputusan pemberian NPPBKC sesuai dengan format yang ditentukan; dan
piagam NPPBKC sesuai dengan format yang ditentukan.
Keputusan pemberian NPPBKC dan Piagam NPPBKC memuat nomor yang dipergunakan sebagai tanda pengenal atau identitas Pengusaha Barang Kena Cukai dalam melaksanakan hak dan kewajiban di bidang cukai dan ditandatangani oleh Kepala Kantor Bea dan Cukai atas nama Menteri.(Sesuai dengan PMK Nomor 68 Tahun 2023)"
"Bagaimana proses pemeriksaan lokasi, bangunan, atau tempat usaha barang kena cukai yang akan didaftarkan NPPBKC?","Proses pemeriksaan lokasi, bangunan, dan tempat usaha saat akan memperoleh NPPBKC, yaitu sebagai berikut:Permohonan pemeriksaan:diajukan kepada Kepala Kantor Bea dan Cukai yang mengawasi lokasi, bangunan, atau tempat usaha yang akan digunakan sebagai Pabrik, Tempat Penyimpanan, Tempat Usaha Importir, Tempat Usaha Penyalur, atau Tempat Penjualan Eceran; dan
paling sedikit harus dilampiri dengan:gambar denah situasi sekitar lokasi, bangunan, atau tempat usaha; dan
gambar denah dalam lokasi, bangunan, atau tempat usaha.


Pejabat Bea dan Cukai memberikan tanda terima kepada Orang yang mengajukan permohonan pemeriksaan lokasi.
Kepala Kantor Bea dan Cukai menugaskan Pejabat Bea dan Cukai untuk melaksanakan pemeriksaan lokasi, bangunan, atau tempat usaha berdasarkan permohonan yang diajukan.
Pejabat Bea dan Cukai yang ditugaskan:melaksanakan pemeriksaan lokasi; dan
membuat berita acara pemeriksaan lokasi. Berita acara pemeriksaan dibuat dalam 2 (dua) rangkap sesuai dengan format yang ditentukan.

Pejabat Bea dan Cukai melaksanakan pemeriksaan, membuat berita acara pemeriksaan, dan menyerahkan 1 (satu) rangkap berita acara pemeriksaan kepada Orang yang mengajukan permohonan, paling lama 5 (lima) hari kerja terhitung setelah pernyataan kesiapan pemeriksaan lokasi dalam permohonan.
Berita acara pemeriksaan digunakan sebagai lampiran permohonan untuk memperoleh NPPBKC dalam jangka waktu 3 (tiga) bulan sejak tanggal berita acara pemeriksaan.
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
Apakah NPPBKC dapat di daftarkan dengan kegiatan dan lokasi yang lebih dari satu jenis dan/atau tempat?,"Bisa, Orang dapat mengajukan permohonan NPPBKC untuk lebih dari satu:
kegiatan; dan/atau
tempat atau lokasi yang akan digunakan sebagai Pabrik, Tempat Penyimpanan, Tempat Usaha Importir, Tempat Usaha Penyalur, atau Tempat Penjualan Eceran.
Dalam hal Orang mengajukan permohonan untuk memperoleh NPPBKC sebagai Penyalur dan daerah pemasaran yang tertera dalam izin usaha dari instansi yang tugas dan tanggung jawabnya di bidang perdagangan, penanaman modal, atau pariwisata berbeda dengan lokasi tempat usaha yang dimintakan izin, Orang yang mengajukan permohonan harus melampirkan izin lokasi tempat usaha yang diterbitkan oleh intansi terkait.
(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
"Seperti apa persyaratan lokasi, bangunan, atau tempat usaha untuk Pabrik yang akan didaftarkan NPPBKC?","Lokasi, bangunan, atau tempat usaha yang akan digunakan sebagai Pabrik harus memenuhi ketentuan sebagai berikut:tidak berhubungan langsung dan memiliki pembatas permanen yang memisahkan dengan rumah tinggal, bangunan, halaman, atau tempat-tempat lain yang bukan bagian Pabrik yang dimintakan izin;
berbatasan langsung dan dalam dimasuki dari jalan umum, kecuali yang lokasinya dalam kawasan industri;
memiliki luas lokasi, bangunan, atau tempat usaha dalam batas tertentu;
memiliki bangunan, ruangan, tempat, pekarangan, dan/atau tangki atau wadah lainnya untuk menyimpan bahan baku atau bahan penolong;
memiliki bangunan, ruangan, tempat, pekarangan, dan peralatan atau mesin yang digunakan untuk membuat dan/atau mengemas barang kena cukai;
memiliki bangunan, ruangan, tangki, dan/atau tempat untuk menimbun, menampung, atau menyimpan barang kena cukai yang selesai dibuat; dan
memiliki bangunan, ruangan, tangki, dan/atau tempat untuk menimbun, menampung, atau menyimpan barang kena cukai yang sudah dilunasi cukainya.

Bangunan, ruangan, tempat, pekarangan, dan/atau tamgki atau wadah lainnya untuk menyimpan bahan baku atau bahan penolong; untuk menimbun, menampung, atau menyimpan barang kena cukai yang selesai dibuat; dan untuk menimbun, menampung, atau menyimpan barang kena cukai yang sudah dilunasi cukainya dapat berada di tempat yang terpisah dari bangunan, ruangan, tempat, dan pekarangan yang digunakan untuk membuat dan/atau mengemas barang kena cukai.
Luas lokasi, bangunan, atau tempat usaha harus memenuhi ketentuan:Pabrik etil alkohol yaitu paling sedikit 5.000 (lima ribu) meter persegi;
Pabrik minuman mengandung etil alkohol yaitu paling sedikit 300 (tiga ratus) meter persegi;
Pabrik hasil tembakau yaitu paling sedikit 200 (dua ratus) meter persegi; dan
Pabrik barang kena cukai selain Pabrik etil alkohol, Pabrik minuman mengandung etil alkohol, dan Pabrik hasil tembakau yaitu sesuai dengan izin dari instansi yang tugas dan tanggung jawabnya di bidang perindustrian atau penanaman modal.

Dikecualikan dari ketentuan memiliki luas paling sedikit:5.000 (lima ribu) meter persegi untuk Pabrik etil alkohol, dalam hal lokasi, bangunan, atau tempat usaha yang dimohonkan akan digunakan sebagai Pabrik etil alkohol yang:menggunakan bahan baku hayati dan biomasa lainnya yang diproses secara bioteknologi;
hasil produksinya digunakan untuk keperluan bahan bakar nabati; dan
memiliki izin dari kementerian yang menyelenggarakan urusan pemerintahan di bidang energi dan sumber daya mineral.

200 (dua ratus) meter persegi untuk Pabrik hasil tembakau, dalam hal lokasi, bangunan, atau tempat usaha yang dimohonkan akan digunakan sebagai Pabrik hasil tembakau jenis hasil pengolahan tembakau lainnya,
yaitu sesuai dengan luas atau kapasitas sebagaimana izin dari instansi yang tugas dan tanggung jawabnya di bidang perindustrian atau penanaman modal.

(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
"Seperti apa persyaratan lokasi, bangunan, atau tempat usaha untuk Tempat Penyimpanan etil alkohol yang akan didaftarkan NPPBKC?","Lokasi, bangunan, atau tempat usaha yang akan digunakan sebagai Tempat Penyimpanan etil alkohol harus memenuhi ketentuan sebagai berikut:tidak berhubungan langsung dengan rumah tinggal, bangunan, halaman, atau tempat-tempat lain yang bukan bagian Tempat Penyimpanan yang dimintakan izin;
berbatasan langsung dan dapat dimasuki dari jalan umum, kecuali yang lokasinya dalam kawasan industri;
memiliki luas lokasi paling sedikit 5.000 (lima ribu) meter persegi;
memiliki tempat penimbunan permanen berupa tangki dengan kapasitas keseluruhan paling sedikit 200.000 (dua ratus ribu) liter etil alkohol dilengkapi dengan fasilitas penunjang berupa pompa, alat ukur volume dan suhu, dan tabel volume yang disahkan oleh dinas metrologi;
memiliki gudang permanen untuk menyimpan etil alkohol;
memiliki pagar dan/atau dinding keliling dan tembok, dengan ketinggian paling rendah 2 (dua) meter yang merupakan batas pemisah yang jelas, kecuali diatur lain oleh pemerintah daerah; dan
memiliki ruang laboratorium dan peralatannya.

Dikecualikan dari ketentuan memiliki luas lokasi paling sedikit 5.000 (lima ribu) meter persegi dan tempat penimbunan permanen berupa tangki dengan kapasitas
keseluruhan paling sedikit 200.000 (dua ratus ribu) liter etil alkohol, dalam hal lokasi, bangunan, atau tempat usaha yang dimohonkan akan digunakan sebagai Tempat Penyimpanan etil alkohol untuk tujuan penyimpanan sementara (transit) :dalam rangka ekspor;
dimasukkan ke Pabrik;
dimasukkan ke Tempat Penyimpanan lainnya; atau
dimasukkan ke Pengusaha pengguna fasilitas pembebasan cukai yang akan digunakan sebagai bahan baku dan/atau bahan penolong untuk memproduksi barang hasil akhir yang bukan merupakan barang kena cukai berupa bahan bakar nabati,yaitu sesuai dengan luas atau kapasitas sebagaimana izin dari instansi yang tugas dan tanggung jawabnya di bidang perdagangan atau penanaman modal.

(Sesuai dengan PMK Nomor 66/PMK.04/2018)"
